id,cod,nome
"9560","RIBEIRAO@PRETO","Ribeirao Preto"
"7039","RIO@BONITO","Rio Bonito"
"16","RIO@BRANCO","Rio Branco"
"7043","RIO@DE@JANEIRO","Rio de Janeiro"
"8041","RIO@GRANDE","Rio Grande"
"158","RIO@LARGO","Rio Largo"
"2298","RIO@VERDE","Rio Verde"
"9587","SALTO","Salto"
"988","SALVADOR","Salvador"
"5422","SANTA@CRUZ@DO@CAPIBARIBE","Santa Cruz do Capibaribe"
"9602","SANTA@CRUZ@DO@RIO@PARDO","Santa Cruz do Rio Pardo"
"2562","SANTA@INES","Santa Ines"
"8087","SANTA@MARIA","Santa Maria"
"316","SANTANA","Santana"
"8101","SANTANA@DO@LIVRAMENTO","Santana do Livramento"
"9636","SANTOS","Santos"
"9642","SAO@CAETANO@DO@SUL","Sao Caetano do Sul"
"7066","SAO@FRANCISCO@DE@ITABAPOANA","Sao Francisco de Itabapoana"
"8126","SAO@GABRIEL","Sao Gabriel"
"9647","SAO@JOAO@DA@BOA@VISTA","Sao Joao da Boa Vista"
"7069","SAO@JOAO@DE@MERITI","Sao Joao de Meriti"
"3857","SAO@JOAO@DEL@REI","Sao Joao Del Rei"
"2585","SAO@JOSE@DE@RIBAMAR","Sao Jose de Ribamar"
"9660","SAO@JOSE@DOS@CAMPOS","Sao Jose dos Campos"
"6656","SAO@JOSE@DOS@PINHAIS","Sao Jose dos Pinhais"
"2587","SAO@LUIS","Sao Luis"
"8151","SAO@LUIZ@GONZAGA","Sao Luiz Gonzaga"
"9668","SAO@PAULO","Sao Paulo"
"9671","SAO@ROQUE","Sao Roque"
"8181","SAPUCAIA@DO@SUL","Sapucaia do Sul"
"7085","SAQUAREMA","Saquarema"
"1036","SENHOR@DO@BONFIM","Senhor do Bonfim"
"2028","SERRA","Serra"
"9686","SERTAOZINHO","Sertaozinho"
"3986","SETE@LAGOAS","Sete Lagoas"
"1047","SIMOES@FILHO","Simoes Filho"
"4493","SINOP","Sinop"
"5114","SOUSA","Sousa"
"9700","SUMARE","Sumare"
"9707","TABOAO@DA@SERRA","Taboao da Serra"
"9726","TAUBATE","Taubate"
"272","TEFE","Tefe"
"5721","TERESINA","Teresina"
"4019","TIMOTEO","Timoteo"
"4263","TRES@LAGOAS","Tres Lagoas"
"7107","TRES@RIOS","Tres Rios"
"8742","TUBARAO","Tubarao"
"4043","UBA","Uba"
"9756","UBATUBA","Ubatuba"
"4048","UBERLANDIA","Uberlandia"
"6794","UMUARAMA","Umuarama"
"8278","URUGUAIANA","Uruguaiana"
"1102","VALENCA","Valenca"
"2361","VALPARAISO@DE@GOIAS","Valparaiso de Goias"
"4066","VARGINHA","Varginha"
"4511","VARZEA@GRANDE","Varzea Grande"
"9775","VARZEA@PAULISTA","Varzea Paulista"
"8294","VIAMAO","Viamao"
"2048","VITORIA","Vitoria"
"5503","VITORIA@DE@SANTO@ANTAO","Vitoria de Santo Antao"
"7121","VOLTA@REDONDA","Volta Redonda"
"9788","VOTORANTIM","Votorantim"
"8763","XANXERE","Xanxere"
"4846","XINGUARA","Xinguara"
